"id","이름_한글","이름_영문","도수구간","최소도수","최대도수","스타일","베이스","맛단계","잔","계절","재료_원문","재료_목록","맛","분위기","제조단계수","제조순서","제조단계_출처","추천수","어려워요수","북마크수","유래","이미지_URL","잔이미지_URL","등록일","수정일","v2_bases","v2_abv","v2_abvBand","taste_sweet","taste_sour","taste_bitter","taste_boozy","taste_body","taste_fizz","flavor_citrus","flavor_tropical","flavor_berry_red","flavor_stone_orchard","flavor_herbal","flavor_mint","flavor_floral","flavor_spice","flavor_coffee_choco","flavor_creamy_nutty","flavor_oak_caramel","flavor_smoky","flavor_anise","flavor_savory","occasion_aperitif","occasion_with_meal","occasion_dessert","occasion_party","occasion_refresh","occasion_slow_sip","occasion_brunch","approachability","familiarity","complexity","polarizing","serve","allergens","recipeStatus","source","유래_출처","recipeSourceUrl","diffords_대조"
"11","레몬 드롭 마티니","Lemon Drop Martini","강함","22","24","스트롱","보드카","","칵테일 글라스","봄","보드카 시트론 30ml (1 oz), 트리플 섹 20ml (⅔ oz), 레몬 주스 15ml (½ oz), 설탕 림","","상큼, 달콤, 시트러스, 상쾌함","여성 인기, 파티, 달콤한, 여성적인, 상큼한","4","1. 셰이커에 얼음을 가득 채운다. / 2. 보드카 시트론 30ml (1 oz), 트리플 섹 20ml (⅔ oz), 레몬 주스 15ml (½ oz), 설탕 림을 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 칵테일 글라스에 걸러 따른다.","AUTO","0","0","0","1970년대 샌프란시스코의 한 바에서 처음 만들어졌으며, 동명의 레몬 사탕에서 이름을 따옴. 
'펀(Fun)' 칵테일의 시초 중 하나로, 클래식 마티니와는 전혀 다른 새콤달콤한 맛을 지님. 
잔 테두리에 설탕을 묻혀 마시는 것이 특징이며, 오프라 윈프리가 가장 좋아하는 칵테일로 알려져 유명해짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Lemon_Drop_Martini.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.476468","2026-01-12 17:55:00.476468","vodka|liqueur","23","2","4","4","0","3","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","4","2","0","up","","verified","existing","","","기존 105 (원본 유지)"
"12","마가리타","Margarita","강함","24","30","클래식","테킬라","","마가리타","여름","테킬라 50ml (1⅔ oz), 트리플 섹 20ml (⅔ oz), 라임 주스 20ml (⅔ oz), 소금 림","","상큼, 시트러스, 짭짤한, 오렌지 향","파티, 바캉스","4","1. 글라스 테두리를 라임으로 적시고 소금을 묻힌다. / 2. 셰이커에 얼음, 데킬라 50ml, 쿠앵트로 20ml, 라임 주스 20ml를 넣는다. / 3. 15초간 셰이킹한다. / 4. 얼음을 넣은 글라스에 스트레이닝하여 따른다.","MANUAL","0","1","1","1930~40년대 멕시코 또는 미국에서 만들어졌으며, 기원에 대한 다양한 설이 존재함.
가장 유명한 설은 1948년 사교계 명사 마가리타 샘즈가 파티에서 처음 선보였다는 이야기.
잔 테두리에 소금을 묻히는 '리밍' 스타일과 새콤짭짤한 맛으로 전 세계적인 인기를 누리는 테킬라 칵테일의 대명사.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Margarita.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_margarita.webp","2026-01-12 17:55:00.477874","2026-01-12 17:55:00.477874","tequila|liqueur","25","3","3","4","0","3","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","3","2","0","0","4","5","2","0","up","","verified","existing","","","기존 105 (원본 유지)"
"13","메리 픽포드","Mary Pickford","보통","18","20","스탠다드","럼","","칵테일 글라스","여름","화이트 럼 45ml (1½ oz), 파인애플 주스 45ml (1½ oz), 그레나딘 5ml (⅙ oz), 마라스키노 리큐르 5ml (⅙ oz)","","파인애플, 달콤, 라이트, 체리 향","클래식 바, 칵테일 타임","4","1. 셰이커에 얼음을 가득 채운다. / 2. 화이트 럼 45ml (1½ oz), 파인애플 주스 45ml (1½ oz), 그레나딘 5ml (⅙ oz), 마라스키노 리큐르 5ml (⅙ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 칵테일 글라스에 걸러 따른다.","AUTO","0","1","2","1920년대 금주법 시대에 쿠바를 여행하던 '미국의 연인'이라 불린 무성영화 배우 메리 픽포드를 위해 만들어짐.
쿠바의 한 바에서 그녀에게 헌정된 칵테일로, 파인애플과 석류의 달콤함이 특징.
당시 쿠바에서 유행하던 럼 베이스 칵테일 중 하나로, 부드럽고 마시기 편해 인기를 끌었음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Mary_Pickford.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.478987","2026-01-12 17:55:00.478987","rum|liqueur","19","2","4","1","0","2","2","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","4","2","3","0","up","","verified","existing","","","기존 105 (원본 유지)"
"14","미모사","Mimosa","약함","6","8","라이트","와인","","플루트","봄","스파클링 와인 75ml (2½ oz), 오렌지 주스 75ml (2½ oz)","","오렌지, 스파클링, 상큼, 가벼움","브런치, 축하 자리","3","1. 플루트 잔에 얼음을 채운다. / 2. 오렌지 주스 75ml (2½ oz)를 붓는다. / 3. 스파클링 와인 75ml (2½ oz)를 잔 벽을 따라 천천히 채운다.","AUTO","0","0","0","1925년 파리 리츠 호텔의 바텐더 프랭크 마이어(Frank Meier)가 처음 만들었다는 설이 유력함.
칵테일의 색깔이 노란 '미모사' 꽃과 비슷하다고 하여 이름이 붙여짐.
샴페인과 오렌지 주스를 1:1로 섞는 간단한 레시피로, 전 세계 브런치 메뉴의 필수 요소.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Mimosa.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_flute.webp","2026-01-12 17:55:00.480166","2026-01-12 17:55:00.480166","sparkling","7","0","3","2","0","0","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","0","0","up","","verified","existing","","","기존 105 (원본 유지)"
"15","모히또","Mojito","보통","15","18","스탠다드","럼","","하이볼","여름","화이트 럼 45ml (1½ oz), 라임 주스 20ml (⅔ oz), 설탕 2 tsp, 민트 잎 6장, 탄산수, 라임 슬라이스","","민트, 라임, 상큼, 탄산, 청량","여름밤, 해변","5","1. 글라스에 라임 4조각과 민트 잎 8~10장, 설탕 2티스푼을 넣는다. / 2. 머들러로 민트와 라임을 가볍게 으깬다. / 3. 으깬 얼음을 절반 채우고 화이트 럼 50ml를 붓는다. / 4. 탄산수로 채우고 바 스푼으로 가볍게 젓는다. / 5. 민트 가지로 가니시한다.","MANUAL","0","0","1","16세기 해적 프랜시스 드레이크의 선원들이 마시던 음료에서 유래했다는 설이 있음.
현재의 모히토는 1930년대 쿠바 아바나의 '라 보데기타 델 메디오' 바에서 완성되었다는 것이 정설.
어니스트 헤밍웨이가 ""내 모히토는 라 보데기타에 있다""고 말할 정도로 사랑했던 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Mojito.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.481609","2026-01-12 17:55:00.481609","rum","16","2","3","3","0","1","1","4","4","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","5","5","1","0","long","","verified","existing","","","기존 105 (원본 유지)"
"16","모스코 뮬","Moscow Mule","보통","12","14","스탠다드","보드카","","구리 머그/하이볼","여름","보드카 45ml (1½ oz), 진저 비어 120ml (4 oz), 라임 주스 5ml (⅙ oz), 라임 웨지","","생강, 상큼, 톡쏘는, 라임","캐주얼 바, 식전주","4","1. 구리 머그에 얼음을 채운다. / 2. 보드카 45ml와 라임 주스 15ml를 붓는다. / 3. 진저비어로 채운다. / 4. 라임 웨지로 가니시한다.","MANUAL","0","0","2","1941년 미국 할리우드에서 스미노프 보드카 사장과 진저 비어 제조업자가 재고 처리를 위해 의기투합하여 만듦.
'모스크바의 노새'라는 이름은 보드카의 러시아 이미지와 진저 비어의 톡 쏘는 맛(노새의 뒷발질)을 결합한 것.
시원함을 유지해주는 구리 머그잔에 담아 마시는 것이 특징이며, 미국 보드카 시장을 개척한 일등공신.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Moscow_Mule.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_copper_mug.webp","2026-01-12 17:55:00.482842","2026-01-12 17:55:00.482842","vodka","13","1","3","2","0","1","1","4","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","3","3","0","0","5","5","2","0","long","","verified","existing","","","기존 105 (원본 유지)"
"17","파라다이스","Paradise","강함","24","26","스트롱","진","","칵테일 글라스","봄","진 30ml (1 oz), 아프리콧 브랜디 20ml (⅔ oz), 오렌지 주스 15ml (½ oz)","","살구, 시트러스, 은은한 단맛, 화사함","칵테일 타임, 가벼운 파티, 식후","4","1. 셰이커에 얼음을 가득 채운다. / 2. 진 30ml (1 oz), 아프리콧 브랜디 20ml (⅔ oz), 오렌지 주스 15ml (½ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 칵테일 글라스에 걸러 따른다.","AUTO","2","1","5","1920년대 런던에서 만들어졌으며, 해리 크래독의 '사보이 칵테일 북'에 수록되어 유명해짐.
이름처럼 천국의 맛을 연상시키는 부드럽고 달콤한 맛으로 여성들에게 특히 인기가 많았음.
진을 베이스로 살구와 오렌지의 조화가 돋보이는 클래식 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Paradise.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.484034","2026-01-12 17:55:00.484034","gin|liqueur","25","3","3","2","0","3","2","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","4","2","3","0","up","","verified","existing","","","기존 105 (원본 유지)"
"18","피나 콜라다","Piña Colada","보통","12","15","라이트","럼","","허리케인/하이볼","여름","화이트 럼 50ml (1⅔ oz), 파인애플 주스 50ml (1⅔ oz), 코코넛 크림 30ml (1 oz)","","코코넛, 파인애플, 달콤, 크리미","휴양지, 풀사이드","4","1. 셰이커에 화이트 럼 50ml (1⅔ oz), 파인애플 주스 50ml (1⅔ oz), 코코넛 크림 30ml (1 oz)를 넣는다. / 2. 얼음 없이 먼저 15초간 흔든다. / 3. 얼음을 채우고 15초간 강하게 흔든다. / 4. 허리케인/하이볼 잔에 얼음을 채운다. 그 위에 걸러 따른다.","AUTO","0","0","0","1954년 푸에르토리코의 한 호텔 바에서 라몬 '몬치토' 마레로가 처음 만들었다는 설이 정설.
'파인애플 언덕'이라는 뜻의 이름처럼 파인애플과 코코넛의 조화가 특징인 트로피컬 칵테일의 대명사.
1978년 푸에르토리코의 공식 칵테일로 지정되었으며, 노래 'Escape'의 가사에 등장하며 세계적으로 유명해짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Pina_Colada.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_hurricane.webp","2026-01-12 17:55:00.485368","2026-01-12 17:55:00.485368","rum","13","1","5","1","0","1","5","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","2","3","0","0","5","5","1","0","frozen","dairy","verified","existing","","","기존 105 (원본 유지)"
"19","플랜터스 펀치","Planter’s Punch","보통","15","18","스탠다드","럼","","하이볼","여름","자메이카 럼 45ml (1½ oz), 라임 주스 15ml (½ oz), 사탕수수 주스 30ml (1 oz), 오렌지 제스트","","열대, 새콤달콤, 향신, 풍부한 과일","티키 스타일, 여름 파티","5","1. 셰이커에 얼음을 가득 채운다. / 2. 자메이카 럼 45ml (1½ oz), 라임 주스 15ml (½ oz), 사탕수수 주스 30ml (1 oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다. / 5. 오렌지 제스트로 장식한다.","AUTO","0","0","0","19세기 자메이카의 사탕수수 농장(Plantation)에서 농장주들이 즐겨 마시던 것에서 유래.
정해진 레시피 없이 '시다, 달다, 강하다, 약하다'는 원칙에 따라 자유롭게 만드는 것이 특징.
다양한 주스와 럼, 비터스가 어우러져 복합적이면서도 상쾌한 열대의 맛을 선사함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Planters_Punch.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.486578","2026-01-12 17:55:00.486578","rum","16","2","4","3","1","2","2","0","3","3","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","2","3","0","0","4","3","3","0","long","","verified","existing","","","기존 105 (원본 유지)"
"20","시 브리즈","Sea Breeze","약함","8","10","라이트","보드카","","하이볼","여름","보드카 40ml (1⅓ oz), 크랜베리 주스 120ml (4 oz), 자몽 주스 30ml (1 oz), 오렌지 필, 체리","","크랜베리, 자몽, 상큼, 가벼움","해변, 캐주얼","5","1. 셰이커에 얼음을 가득 채운다. / 2. 보드카 40ml (1⅓ oz), 크랜베리 주스 120ml (4 oz), 자몽 주스 30ml (1 oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다. / 5. 오렌지 필, 체리로 장식한다.","AUTO","0","0","0","1920년대 금주법 시대에 처음 등장했으나, 당시에는 진과 살구 브랜디를 사용했음.
현재의 보드카와 크랜베리, 자몽 주스를 사용하는 레시피는 1970년대에 정립되어 큰 인기를 끔.
'바닷바람'이라는 이름처럼 상쾌하고 청량한 맛으로 여름철 칵테일로 인기가 높음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Sea_Breeze.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.487971","2026-01-12 17:55:00.487971","vodka","9","1","2","4","1","1","2","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","5","4","1","0","long","","verified","existing","","","기존 105 (원본 유지)"
"21","섹스 온 더 비치","Sex on the Beach","보통","10","15","라이트","보드카","","하이볼","여름","보드카 40ml (1⅓ oz), 피치 슈냅스 20ml (⅔ oz), 오렌지 주스 40ml (1⅓ oz), 크랜베리 주스 40ml (1⅓ oz),  오렌지 슬라이스","","복숭아, 오렌지, 크랜베리, 달콤상큼","파티, 달콤한, 여름, 여행지","5","1. 셰이커에 얼음을 가득 채운다. / 2. 보드카 40ml (1⅓ oz), 피치 슈냅스 20ml (⅔ oz), 오렌지 주스 40ml (1⅓ oz), 크랜베리 주스 40ml (1⅓ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다. / 5. 오렌지 슬라이스로 장식한다.","AUTO","0","0","2","1987년 미국 플로리다 포트로더데일 칵테일 경연대회에서 바텐더 테드 피지오(Ted Pizio) 가 처음 선보임.
당시 해변 휴양지의 이미지를 반영해 “Sex on the Beach!” 라는 이름으로 마케팅 효과를 노렸으며, 본래 이름은 Dance on the Beach 였음.
독특한 이름과 풍습(남자가 주문하면 두 사람이 키스한다는 이야기) 덕분에 폭발적 인기를 얻어 오늘날까지 전해짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Sex_on_the_Beach.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.489171","2026-01-12 17:55:00.489171","vodka|liqueur","12","1","5","2","0","1","2","0","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","5","5","1","0","long","","verified","existing","","","기존 105 (원본 유지)"
"22","사이드카","Sidecar","강함","24","27","클래식","브랜디","","칵테일 글라스","사계절","코냑 50ml (1⅔ oz), 트리플 섹 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 설탕 림(옵션)","","새콤달콤, 시트러스, 강한, 클래식, 오렌지","저녁 식전주, 클래식 바","4","1. 셰이커에 얼음을 가득 채운다. / 2. 코냑 50ml (1⅔ oz), 트리플 섹 20ml (⅔ oz), 레몬 주스 20ml (⅔ oz), 설탕 림(옵션)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 칵테일 글라스에 걸러 따른다.","AUTO","0","0","0","제1차 세계대전 직후 런던 혹은 파리에서 탄생했다는 설이 있으며, 정확한 기원은 불분명함.
오토바이 옆에 다는 '사이드카'를 타고 바에 온 한 장교를 위해 만들어졌다는 일화가 가장 유명.
브랜디, 오렌지 리큐르, 레몬 주스의 간단한 조합으로 완벽한 균형을 보여주는 사워 칵테일의 정수.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Sidecar.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.490579","2026-01-12 17:55:00.490579","brandy|liqueur","25","3","3","4","0","3","2","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","2","0","4","4","3","0","up","","verified","existing","","","기존 105 (원본 유지)"
"23","데킬라 선라이즈","Tequila Sunrise","보통","10","12","스탠다드","테킬라","","하이볼","여름","테킬라 45ml (1½ oz), 오렌지 주스 90ml (3 oz), 그레나딘 10ml (⅓ oz)","","오렌지, 달콤, 상큼, 그레나딘 레이어","여름, 휴양지, 화려한, 파티, 해변","4","1. 셰이커에 얼음을 가득 채운다. / 2. 테킬라 45ml (1½ oz), 오렌지 주스 90ml (3 oz), 그레나딘 10ml (⅓ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다.","AUTO","0","0","0","1930년대 아리조나에서 처음 만들어졌으나, 현재의 레시피는 1970년대 캘리포니아에서 완성.
그레나딘 시럽이 아래로 가라앉으면서 만들어내는 붉은색 그라데이션이 '떠오르는 태양' 같다고 하여 붙여진 이름.
롤링 스톤스가 투어 중 즐겨 마시면서 유명해졌고, 이글스의 노래 제목으로도 사용됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Tequila_Sunrise.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.492125","2026-01-12 17:55:00.492125","tequila","11","1","4","1","0","1","2","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","5","5","1","0","long","","verified","existing","","","기존 105 (원본 유지)"
"24","위스키 사워","Whiskey Sour","보통","16","18","클래식","위스키","","올드패션드/쿠페","사계절","버번 위스키 45ml (1½ oz), 레몬 주스 25ml (⅚ oz), 설탕 시럽 20ml (⅔ oz), 계란흰자(옵션)","","상큼, 달콤, 거품, 균형","클래식, 균형감, 대중적인, 식전","4","1. 셰이커에 버번 위스키 50ml, 레몬 주스 25ml, 심플 시럽 15ml, 계란 흰자 1개를 넣는다. / 2. 얼음 없이 먼저 드라이 셰이킹한다. / 3. 얼음을 넣고 다시 15초 셰이킹한다. / 4. 락 글라스에 스트레이닝하고 앙고스투라 비터스를 몇 방울 떨어뜨린다.","MANUAL","0","0","1","19세기 중반 선원들이 괴혈병 예방을 위해 술에 레몬이나 라임을 섞어 마시던 것에서 유래.
1862년 제리 토마스의 '바텐더 가이드'에 처음으로 공식적인 레시피가 기록됨.
스피릿, 시트러스, 설탕의 완벽한 균형을 보여주는 '사워' 칵테일의 가장 기본적인 형태.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Whiskey_Sour.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.493332","2026-01-12 17:55:00.493332","whiskey","17","2","3","4","0","2","3","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","2","0","4","5","2","0","rocks","egg","verified","existing","","","기존 105 (원본 유지)"
"25","화이트 레이디","White Lady","강함","22","25","스트롱","진","","칵테일 글라스","봄","진 40ml (1⅓ oz), 트리플 섹 30ml (1 oz), 레몬 주스 20ml (⅔ oz)","","상큼, 쌉싸름, 꽃향, 드라이","칵테일 타임, 우아한, 부드러운, 세련된, 식전","4","1. 셰이커에 얼음을 가득 채운다. / 2. 진 40ml (1⅓ oz), 트리플 섹 30ml (1 oz), 레몬 주스 20ml (⅔ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 칵테일 글라스에 걸러 따른다.","AUTO","0","0","0","1919년 런던의 바텐더 해리 맥켈혼이 처음 만들었으나, 현재 레시피는 1929년 사보이 호텔 시절에 완성.
금주법 시대의 유명인사 F. 스콧 피츠제럴드의 아내 젤다 피츠제럴드를 기리기 위해 만들었다는 설이 있음.
진 사워에 오렌지 리큐르를 더한 형태로, 계란 흰자를 넣어 부드러운 질감을 살리는 것이 특징.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_White_Lady.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.49474","2026-01-12 17:55:00.49474","gin|liqueur","23","2","3","4","0","3","2","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","3","3","0","up","","verified","existing","","","기존 105 (원본 유지)"
"26","홀시스 넥","Horse’s Neck","보통","12","14","스페셜","코냑","","하이볼","가을","코냑 40ml (1⅓ oz), 진저 에일 120ml (4 oz), 레몬 껍질","","생강, 레몬, 청량감, 스파이시","상쾌한, 클래식, 가벼운, 오후","4","1. 하이볼 잔에 얼음을 잔 끝까지 넣는다. / 2. 코냑 40ml (1⅓ oz)를 붓는다. / 3. 진저 에일 120ml (4 oz)를 잔 벽을 따라 천천히 채운다. / 4. 레몬 껍질로 장식한다.","AUTO","0","0","0","1890년대 미국에서 처음 등장한 논알콜 음료였으나, 20세기 초에 브랜디나 위스키를 추가하면서 칵테일로 발전.
'말의 목'이라는 이름은 길게 깎아 넣은 레몬 껍질이 말의 목처럼 보인다고 해서 붙여짐.
원래는 앙고스투라 비터스를 추가하는 것이 정석이었으나, 현재는 생략되는 경우가 많음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Horses_Neck.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.496015","2026-01-12 17:55:00.496015","brandy","13","1","3","1","0","1","2","3","2","0","0","0","0","0","0","4","0","0","2","0","0","0","0","2","0","0","2","0","0","4","3","3","0","long","","verified","existing","","","기존 105 (원본 유지)"
"27","다크 앤 스토미","Dark ’n’ Stormy","보통","16","18","스페셜","럼","","하이볼","여름","고슬링 럼 60ml (2 oz), 진저 비어 100ml (3⅓ oz)","","생강, 스파이시, 라임, 청량감","강렬한, 모험적인, 상쾌한, 이국적인","3","1. 하이볼 잔에 얼음을 잔 끝까지 넣는다. / 2. 고슬링 럼 60ml (2 oz)를 붓는다. / 3. 진저 비어 100ml (3⅓ oz)를 잔 벽을 따라 천천히 채운다.","AUTO","0","0","0","1차 세계대전 이후 버뮤다에서 영국 해군들이 마시던 것에서 유래.
버뮤다의 진저 비어 공장과 고슬링스 럼 증류소가 결합하여 탄생한 칵테일.
'어둡고 폭풍우 치는'이라는 이름은 칵테일의 색깔이 폭풍우 구름 같다고 해서 붙여짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Dark_n_Stormy.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.497277","2026-01-12 17:55:00.497277","rum","17","2","3","1","0","2","2","4","1","0","0","0","0","0","0","5","0","0","3","0","0","0","0","0","0","0","2","2","0","4","4","3","0","long","","verified","existing","","","기존 105 (원본 유지)"
"28","팔로마","Paloma","보통","10","12","스탠다드","테킬라","","하이볼","여름","테킬라 50ml (1⅔ oz), 자몽 소다 120ml (4 oz), 라임 주스 5ml (⅙ oz), 솔트 림(옵션), 라임 슬라이스","","자몽, 상큼, 탄산, 소금 림","데이라링, 여름 파티","4","1. 하이볼 잔에 얼음을 잔 끝까지 넣는다. / 2. 테킬라 50ml (1⅔ oz), 라임 주스 5ml (⅙ oz), 솔트 림(옵션)를 붓는다. / 3. 자몽 소다 120ml (4 oz)를 잔 벽을 따라 천천히 채운다. / 4. 라임 슬라이스로 장식한다.","AUTO","0","0","1","멕시코에서 가장 사랑받는 칵테일 중 하나로, 정확한 기원은 알려져 있지 않음.
'비둘기'라는 뜻의 이름은 19세기 멕시코의 민요 '라 팔로마'에서 유래했다는 설이 있음.
데킬라와 자몽 소다의 간단한 조합이지만, 쌉쌀하고 상쾌한 맛으로 마가리타보다 현지에서 더 대중적임.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Paloma.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.49871","2026-01-12 17:55:00.49871","tequila","11","1","2","3","0","1","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","3","3","0","0","5","3","2","0","long","","verified","existing","","","기존 105 (원본 유지)"
"29","셰리 코블러","Sherry Cobbler","보통","12","14","스탠다드","와인/셰리","","하이볼/콥블러 글라스","여름","아몬틸라도 셰리 45ml (1½ oz), 팔로 코르타도 45ml (1½ oz), 설탕 1tsp, 오렌지/레몬/베리 장식","","과일, 상큼, 은은한 단맛, 상쾌함","여름 오후, 티가든","4","1. 셰이커에 얼음을 가득 채운다. / 2. 아몬틸라도 셰리 45ml (1½ oz), 팔로 코르타도 45ml (1½ oz), 설탕 1tsp, 오렌지/레몬/베리 장식을 넣는다. / 3. 15초간 강하게 흔든다. / 4. 하이볼/콥블러 글라스에 얼음을 채운다. 그 위에 걸러 따른다.","AUTO","0","0","0","19세기 초반 미국에서 탄생한 매우 오래된 '코블러' 스타일의 칵테일.
잘게 부순 얼음(Cobblestone)을 사용하는 것과 빨대를 처음으로 대중화시킨 것으로 유명.
셰리 와인을 베이스로 하여 도수가 낮고, 신선한 과일과 함께 시원하게 즐기는 여름 음료.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Sherry_Cobbler.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.499911","2026-01-12 17:55:00.499911","fortified","13","1","3","1","1","1","2","0","2","0","2","2","0","0","0","0","0","2","0","0","0","0","3","2","0","0","0","0","0","3","2","4","0","long","","verified","existing","","","기존 105 (원본 유지)"
